date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:22	43547/43547	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2009:05:22%20GMT	https://www.wellysis.com/	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/index.html	(from )
18:05:22	21/21	---M--	200	added ('OK')	text/plain	etag:%2215-6174727edcca5%22	https://www.wellysis.com/robots.txt		(from )
18:05:22	3787/3787	---M--	200	added ('OK')	image/png	etag:%22ecb-616cc55dac1d6%22	https://www.wellysis.com/apple-icon-57x57.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-57x57.png	(from https://www.wellysis.com/)
18:05:23	4030/4030	---M--	200	added ('OK')	image/png	etag:%22fbe-616cc55db6db6%22	https://www.wellysis.com/apple-icon-60x60.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-60x60.png	(from https://www.wellysis.com/)
18:05:23	5031/5031	---M--	200	added ('OK')	image/png	etag:%2213a7-616cc55dc1d7e%22	https://www.wellysis.com/apple-icon-72x72.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-72x72.png	(from https://www.wellysis.com/)
18:05:23	5393/5393	---M--	200	added ('OK')	image/png	etag:%221511-616cc55dcd8fe%22	https://www.wellysis.com/apple-icon-76x76.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-76x76.png	(from https://www.wellysis.com/)
18:05:23	9105/9105	---M--	200	added ('OK')	image/png	etag:%222391-616cc55d779fe%22	https://www.wellysis.com/apple-icon-114x114.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-114x114.png	(from https://www.wellysis.com/)
18:05:24	9772/9772	---M--	200	added ('OK')	image/png	etag:%22262c-616cc55d82dae%22	https://www.wellysis.com/apple-icon-120x120.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-120x120.png	(from https://www.wellysis.com/)
18:05:24	12699/12699	---M--	200	added ('OK')	image/png	etag:%22319b-616cc55d8dd76%22	https://www.wellysis.com/apple-icon-144x144.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-144x144.png	(from https://www.wellysis.com/)
18:05:24	13556/13556	---M--	200	added ('OK')	image/png	etag:%2234f4-616cc55d98d3e%22	https://www.wellysis.com/apple-icon-152x152.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-152x152.png	(from https://www.wellysis.com/)
18:05:24	17221/17221	---M--	200	added ('OK')	image/png	etag:%224345-616cc55d9f6b6%22	https://www.wellysis.com/apple-icon-180x180.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/apple-icon-180x180.png	(from https://www.wellysis.com/)
18:05:25	17168/17168	---M--	200	added ('OK')	image/png	etag:%224310-616cc55d399cf%22	https://www.wellysis.com/android-icon-192x192.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/android-icon-192x192.png	(from https://www.wellysis.com/)
18:05:25	2047/2047	---M--	200	added ('OK')	image/png	etag:%227ff-616cc55e043fd%22	https://www.wellysis.com/favicon-32x32.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/favicon-32x32.png	(from https://www.wellysis.com/)
18:05:25	7253/7253	---M--	200	added ('OK')	image/png	etag:%221c55-616cc55e09605%22	https://www.wellysis.com/favicon-96x96.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/favicon-96x96.png	(from https://www.wellysis.com/)
18:05:25	1208/1208	---M--	200	added ('OK')	image/png	etag:%224b8-616cc55df693d%22	https://www.wellysis.com/favicon-16x16.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/favicon-16x16.png	(from https://www.wellysis.com/)
18:05:26	720/720	---M--	200	added ('OK')	application/json	etag:%222d0-616cc55e13245%22	https://www.wellysis.com/manifest.json	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/manifest.json	(from https://www.wellysis.com/)
18:05:26	12699/12699	---M--	200	added ('OK')	image/png	etag:%22319b-616cc55e1bee5%22	https://www.wellysis.com/ms-icon-144x144.png	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/ms-icon-144x144.png	(from https://www.wellysis.com/)
18:05:26	22101/22101	---MCZ	200	added ('OK')	text/css	etag:W/%225655-6103a355922e9%22	https://www.wellysis.com/theme/wellysis/css/mobile.css?ver=2303229	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/theme/wellysis/css/mobileaa39.css	(from https://www.wellysis.com/)
18:05:26	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-60f2da6675a00%22	https://www.wellysis.com/js/font-awesome/css/font-awesome.min.css?ver=2303229	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/js/font-awesome/css/font-awesome.minaa39.css	(from https://www.wellysis.com/)
18:05:27	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Oct%202024%2009:05:27%20GMT	https://www.wellysis.com/theme/wellysis/mobile/skin/latest/news/style.css?v2	C:/My%20Web%20Sites/new%20portfolio/www.wellysis.com/theme/wellysis/mobile/skin/latest/news/style1b26.css	(from https://www.wellysis.com/)
